building_id,name,postal_code,address,latitude,longitude,map_embed,height,floors_above,floors_below,architect,constructor,construction_start,completion,image_urls,streetview_embed
,JAビル,100-0004,東京都千代田区大手町一丁目3-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2002.4776583545852!2d139.76090904596333!3d35.68853035520883!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c061d2b2677%3A0xbaf2735fc7eb8025!2z44CSMTAwLTAwMDQg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65aSn5omL55S677yR5LiB55uu77yT4oiS77yRIEpB44OT44Or!5e0!3m2!1sja!2sjp!4v1717254383855!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",180,37,3,三菱地所設計、全国農協設計、NTTファシリティーズ,鹿島建設,200704,200904,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1717254429365!6m8!1m7!1sGC29KU65q2u5zDHSq4LgXw!2m2!1d35.68951643352025!2d139.7635952517178!3f221.59791418031054!4f34.0450850846228!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,ミッドタウン・ウェスト,107-0052,東京都港区赤坂九丁目7-3,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2314.2287671685995!2d139.72842004589734!3d35.665740813917296!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b78ec1a01cb%3A0xb44cf75bffb9bddf!2z5a-M5aOr44OV44Kk44Or44Og44OT44K444ON44K544Kk44OO44OZ44O844K344On44Oz44ixIOacrOekvg!5e0!3m2!1sja!2sjp!4v1721132266435!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",66.1,13,3,日建設計、スキッドモア・オーウィングズ・アンド・メリル,竹中工務店、大成建設,200404,200701,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721132290464!6m8!1m7!1sww6j3YjC0QpBbBOX1_lL8A!2m2!1d35.6649470921626!2d139.7302266372049!3f10.805914007496792!4f27.38595447584126!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,ミッドタウン・タワー,107-0052,東京都港区赤坂九丁目7-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2314.210815621815!2d139.72854951742548!3d35.666360101269554!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b6a4d489353%3A0x6e7e66d98c924085!2z5p2x5Lqs44Of44OD44OJ44K_44Km44OzIOODn-ODg-ODieOCv-OCpuODs-ODu-OCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1720966626532!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",248.1,54,5,日建設計、スキッドモア・オーウィングズ・アンド・メリル,竹中工務店、大成建設,200405,200701,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720966728634!6m8!1m7!1s7eZ2li3BpEzhnsiDuMemfw!2m2!1d35.66745589028525!2d139.7315204352499!3f189.11233783392385!4f34.065911995064624!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,楽天クリムゾンハウス,158-0094,東京都世田谷区玉川一丁目14-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3243.7001313861347!2d139.62770857669503!3d35.610462872610114!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188a74082bbea3%3A0x5fb97b8c87e95cd!2z5qW95aSp44Kv44Oq44Og44K-44Oz44OP44Km44K5IOacrOekvu-8iOalveWkqeOCsOODq-ODvOODl--8iQ!5e0!3m2!1sja!2sjp!4v1721131496559!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",137,30,2,日建設計、アール・アイ・エー、東急設計コンサルタント,鹿島建設,201201,201506,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721131520122!6m8!1m7!1sTpSu_9__QKkSgsC1sNGpMg!2m2!1d35.60957578061971!2d139.6301249661664!3f356.9259003940019!4f30.73231396003567!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,丸の内トラストタワーN館,100-0005,東京都千代田区丸の内一丁目8-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.745869325512!2d139.76716727621752!3d35.683258972586586!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bfe84955555%3A0xf1064cb3ee6a39fc!2z5Li444Gu5YaF44OI44Op44K544OI44K_44Ov44O8IE7ppKg!5e0!3m2!1sja!2sjp!4v1725874470550!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",99.6,19,3,森トラスト、安井建築設計事務所、鹿島建設,鹿島建設,200110,200309,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1725874509651!6m8!1m7!1s_h6UgEnr-EQpGpCnQ4__oQ!2m2!1d35.68397859685156!2d139.769497919416!3f155.09729607250563!4f31.968907892675034!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,丸の内トラストタワー本館,100-0005,東京都千代田区丸の内一丁目8-3,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2547.5686002088096!2d139.76740319234997!3d35.68230158061459!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b21c04793df%3A0xe5ff93813c9cbd55!2z5Li444Gu5YaF44OI44Op44K544OI44K_44Ov44O8IOacrOmkqA!5e0!3m2!1sja!2sjp!4v1720967486109!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",178,37,4,安井建築設計事務所、森村設計、戸田建設,戸田建設,200602,200812,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1720967597924!6m8!1m7!1sKP7SlBuzRyBI_TwHJrrKsQ!2m2!1d35.68171730922572!2d139.769819284478!3f331.7693278128096!4f40.51184464676979!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,丸の内パークビルディング,100-0005,東京都千代田区丸の内二丁目6-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d2547.678330616687!2d139.75918833821595!3d35.67886478136448!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b048d5a3f73%3A0x132909ac698c893f!2z5Li444Gu5YaF44OR44O844Kv44OT44Or44OH44Kj44Oz44Kw!5e0!3m2!1sja!2sjp!4v1721035720203!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",169.983,34,4,三菱地所設計,竹中工務店,200607,200905,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721035797843!6m8!1m7!1sH6b6krD1xQxgb-_i_Y9N_A!2m2!1d35.67785722059796!2d139.7637892992802!3f333.83438786523305!4f29.963317956196747!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,丸の内ビルディング,100-0005,東京都千代田区丸の内二丁目4-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.8359874711923!2d139.76122777669735!3d35.681040272587396!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bf992c34823%3A0x21ed577a75a4b0d1!2z5Li444Gu5YaF44OT44Or44OH44Kj44Oz44Kw!5e0!3m2!1sja!2sjp!4v1721132551523!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",180,37,4,三菱地所設計,大林組、大成建設、清水建設、竹中工務店、鹿島建設、ピーエス三菱,199904,200208,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721132578715!6m8!1m7!1sClt-TkVgU11wLgTACtj87A!2m2!1d35.68107373359729!2d139.765128775111!3f276.4242766622541!4f29.08642855726788!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,丸の内永楽ビルディング,100-0005,東京都千代田区丸の内一丁目4-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.7044906052142!2d139.76247327669714!3d35.68427767258632!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bf86755c011%3A0xacccbc1e890f9768!2z44CSMTAwLTAwMDUg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65Li444Gu5YaF77yR5LiB55uu77yU4oiS77yRIOS4uOOBruWGheawuOalveODk-ODq-ODh-OCo-ODs-OCsA!5e0!3m2!1sja!2sjp!4v1721132591503!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",150,27,4,三菱地所設計,清水建設,200909,201201,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721132624032!6m8!1m7!1sRBZr0ZuUaN2XQ6YFg8pcAg!2m2!1d35.68476648371313!2d139.7659965569355!3f246.20440160567327!4f28.448772312908943!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,丸の内二重橋ビルディング,100-0005,東京都千代田区丸の内三丁目2-3,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4005.5004337401047!2d139.75986540775364!3d35.67767148478006!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188ba33b86b653%3A0xdd4f05de8b395203!2z5Li444Gu5YaF5LqM6YeN5qmL44OT44Or!5e0!3m2!1sja!2sjp!4v1721035827127!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",150,30,4,三菱地所設計、日建設計コンストラクション・マネジメント（東京會舘本館）,大成建設,201511,201810,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721035921055!6m8!1m7!1sVH3c0uJw4qdWRMtBL1a1eg!2m2!1d35.67858153630983!2d139.760573401537!3f137.69011813783092!4f27.29778488827931!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,丸紅東京本社ビル,100-0004,東京都千代田区大手町一丁目4-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4004.8527793073163!2d139.75811079754044!3d35.69057260627022!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c0e5146586d%3A0xe1a009ceb01dd6fb!2z44CSMTAwLTAwMDQg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65aSn5omL55S677yR5LiB55uu77yUIOS4uOe0headseS6rOacrOekvuODk-ODqw!5e0!3m2!1sja!2sjp!4v1721132646209!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",111.9,22,2,日建設計、大成建設,大成建設,201712,202010,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721132680707!6m8!1m7!1s1BZZASKt71MOVLNPLQ7E-Q!2m2!1d35.69030579506681!2d139.758786069744!3f55.40546020383953!4f33.19860524721426!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,京橋エドグラン,104-0031,東京都中央区京橋二丁目2-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4005.5046105788074!2d139.76701989758573!3d35.677588270021786!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188be33b492cfd%3A0x1c52d4587a3ba790!2z5Lqs5qmL44Ko44OJ44Kw44Op44Oz!5e0!3m2!1sja!2sjp!4v1721132707496!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",170.37,32,3,日建設計,清水建設,201310,201610,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721132737270!6m8!1m7!1sdgFUaC-IWsO1YxXh6LlCRA!2m2!1d35.6766556124949!2d139.7702170151501!3f328.32331874152624!4f35.57356311809552!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,経団連会館,100-0004,東京都千代田区大手町一丁目3-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.52641678174!2d139.76107517669743!3d35.68866137258493!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c0616d39663%3A0x4ef63e52bf7a9ac0!2z57WM5Zuj6YCj5Lya6aSo!5e0!3m2!1sja!2sjp!4v1721132893973!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",122,23,4,日建設計,清水建設,200704,200904,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721132935302!6m8!1m7!1s333KOxvLVAS1xVZeM1fPgg!2m2!1d35.68811496569509!2d139.763896072506!3f327.69585015232457!4f36.802816561195016!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,虎ノ門ヒルズ ステーションタワー,105-0001,東京都港区虎ノ門二丁目6-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3241.3926649982086!2d139.7447381766967!3d35.667332272591665!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bd7871837ad%3A0xca21de069478572f!2z6JmO44OO6ZaA44OS44Or44K6IOOCueODhuODvOOCt-ODp-ODs-OCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1721036373083!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",266,49,4,森ビル、株式会社久米設計（設計協力）,鹿島建設,201911,202307,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721036438704!6m8!1m7!1s4ji3eJT012bgN-TLtE6i4w!2m2!1d35.6676195407043!2d139.7484006766012!3f264.08603602144854!4f35.115704867411395!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,虎ノ門ヒルズ ビジネスタワー,105-0001,東京都港区虎ノ門一丁目17-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3241.3722659689465!2d139.7474627766968!3d35.6678346725916!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b930082800d%3A0xbd9a31ee2f8f015!2z6JmO44OO6ZaA44OS44Or44K6IOODk-OCuOODjeOCueOCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1721036468387!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",185.415,36,3,森ビル,大林組,201702,202001,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721036491822!6m8!1m7!1sU_OHiMWAIKwGPutTiecpmw!2m2!1d35.66676222502933!2d139.7502975634482!3f346.01407704841375!4f34.7068693123271!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,虎ノ門ヒルズ 森タワー,105-0001,東京都港区虎ノ門一丁目23-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3241.413589252255!2d139.74681431130622!3d35.666816930651365!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188b93a21fcd75%3A0x9d3da2a541d5809b!2z44CSMTA1LTAwMDEg5p2x5Lqs6YO95riv5Yy66JmO44OO6ZaA77yR5LiB55uu77yS77yTIOiZjuODjumWgOODkuODq-OCuuajruOCv-ODr-ODvA!5e0!3m2!1sja!2sjp!4v1761982312811!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",255.5,52,5,日本設計,大林組,201104,201405,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1761982390330!6m8!1m7!1svLOpGC5k6QxYUvk3Hcnxfg!2m2!1d35.66608594590151!2d139.7503713285963!3f311.62998102844!4f41.736775866779!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,三井住友銀行東館,100-0005,東京都千代田区丸の内一丁目3-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.676284085617!2d139.76089347669756!3d35.68497207258607!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bf80eaec5a1%3A0x919e8ae80c5569f4!2z44CSMTAwLTAwMDUg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65Li444Gu5YaF77yR5LiB55uu77yT4oiS77ySIOS4ieS6leS9j-WPi-mKgOihjOadsemkqA!5e0!3m2!1sja!2sjp!4v1721133412128!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",150,29,4,日建設計,鹿島建設、三井住友建設、熊谷組、鴻池組,201201,201506,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721133390972!6m8!1m7!1sXnuDibKPYu1ENvzhdMQnBQ!2m2!1d35.68546318464359!2d139.7630666157154!3f148.26230105711832!4f31.060982955010147!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,三井住友銀行本店ビルディング,100-0005,東京都千代田区丸の内一丁目1-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.671373080433!2d139.7598199766975!3d35.68509297258589!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188c08066adb67%3A0xebedb4993c1430b9!2z44CSMTAwLTAwMDUg5p2x5Lqs6YO95Y2D5Luj55Sw5Yy65Li444Gu5YaF77yR5LiB55uu77yR4oiS77ySIOS4ieS6leS9j-WPi-mKgOihjOacrOW6l-ODk-ODq-ODh-OCo-ODs-OCsA!5e0!3m2!1sja!2sjp!4v1721133346044!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",117.1,23,4,日建設計,鹿島建設、三井住友建設、熊谷組,200801,201007,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721133370103!6m8!1m7!1sGsX6BrPolxg1GfsTpo0EAA!2m2!1d35.68546659813718!2d139.7633097970512!3f239.50165277915204!4f29.499350098937086!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,三井物産ビル,100-0004,東京都千代田区大手町一丁目2-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.560573068909!2d139.7597595766974!3d35.68782057258521!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d87a9185b19%3A0xa0190f1eb9fa0a11!2z5LiJ5LqV54mp55Sj44OT44Or!5e0!3m2!1sja!2sjp!4v1721133431536!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",158,31,5,日建設計、鹿島建設,鹿島建設,201605,202002,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721133467980!6m8!1m7!1sp_b2I05mZT0SsnzyAWj4xg!2m2!1d35.68724985397346!2d139.7614766024501!3f53.4668680731351!4f32.71611384064185!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,三菱UFJ信託銀行本店ビル,100-0005,東京都千代田区丸の内一丁目4-5,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.7275583425144!2d139.76208927669745!3d35.683709772586376!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bf85a9eb641%3A0x727bc0f1fc7ad454!2z5LiJ6I-xVUZK5L-h6KiX6YqA6KGM5pys5bqX44OT44Or!5e0!3m2!1sja!2sjp!4v1721133620063!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",148.36,30,4,三菱地所設計,大成建設,200012,200303,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721133644690!6m8!1m7!1s1ZdSru80Iv_xeuLf4hJ1hw!2m2!1d35.68272869193446!2d139.7651566974278!3f341.3636410324361!4f30.30433213415374!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,汐留シティセンター,105-0021,東京都港区東新橋一丁目5-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3241.4671737455124!2d139.75830567669672!3d35.66549717259225!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188bc2a7955555%3A0xfbc3b43e3ba8af23!2z5rGQ55WZ44K344OG44Kj44K744Oz44K_44O8!5e0!3m2!1sja!2sjp!4v1721036629530!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",215.75,43,4,ケビンローシュ・ジョンディンカルー・アンド・アソシエイツ、日本設計,竹中工務店,200003,200301,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1726150725652!6m8!1m7!1sj0HDxIhY41ZraYGF0tn5Gw!2m2!1d35.66536052398421!2d139.7621828884645!3f267.5404625236562!4f39.25972810351749!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,住友不動産新宿ガーデンタワー,169-0072,東京都新宿区大久保三丁目8-2,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3239.754919626712!2d139.7007183766981!3d35.70764817257863!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d3add1f3d17%3A0x1418ce9d199370bf!2z5L2P5Y-L5LiN5YuV55Sj5paw5a6_44Ks44O844OH44Oz44K_44Ov44O8!5e0!3m2!1sja!2sjp!4v1721128167327!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",159.65,37,2,日建設計,大林組,201306,201603,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721128285372!6m8!1m7!1sOcYEgjCEmEDOiMMurn13gw!2m2!1d35.70822375243676!2d139.7024592272934!3f122.73454512777957!4f35.46854261437527!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,住友不動産新宿グランドタワー,160-0023,東京都新宿区西新宿八丁目17-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3240.2267271933324!2d139.6878174766977!3d35.69603787258265!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188d2b43cd0117%3A0xa0601542ddf0ec9b!2z5L2P5Y-L5LiN5YuV55Sj5paw5a6_44Kw44Op44Oz44OJ44K_44Ov44O8!5e0!3m2!1sja!2sjp!4v1721128307644!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",195.2,40,3,日建設計,大成建設、鴻池組,200811,201110,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721128374417!6m8!1m7!1sNdn5HqbFDMXPtp0iMKwrHw!2m2!1d35.69509437353197!2d139.6903050563782!3f357.21923287896396!4f42.93052919360278!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
,住友不動産大崎ガーデンタワー,141-0033,東京都品川区西品川一丁目1-1,,,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d4008.647165874697!2d139.72935090349054!3d35.61493164869563!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x60188a8a88a8df11%3A0xb03f46b8fab857b!2z5L2P5Y-L5LiN5YuV55Sj5aSn5bSO44Ks44O844OH44Oz44K_44Ov44O8!5e0!3m2!1sja!2sjp!4v1721128477992!5m2!1sja!2sjp"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",114.15,24,2,日建設計,大成建設,201507,201801,,"<iframe src=""https://www.google.com/maps/embed?pb=!4v1721128508428!6m8!1m7!1sgf6EuzOWy1nTLzzIYY0dwg!2m2!1d35.61600904628425!2d139.7310158802094!3f188.98709276537522!4f30.667580580202554!5f0.7820865974627469"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>"
